,heat_Demand_MT,heat_Demand_HT,heat_Waste_Heat_MT,heat_Waste_Heat_HT
2021-01-02 08:45:00,2548.787626,354.2,3023.631344,583.7344174
2021-01-02 09:00:00,2547.091716,373.1,3111.590539,687.8393622
2021-01-02 09:15:00,2273.561629,431.4,3213.840539,520.2909635
2021-01-02 09:30:00,2414.077102,465.4,3356.178797,411.1854896
2021-01-02 09:45:00,2908.686545,454.8,3470.116356,492.5703
2021-01-02 10:00:00,3097.577794,393.2,3541.813133,536.8855542
2021-01-02 10:15:00,2884.232911,383.3,3414.709464,718.5855743
2021-01-02 10:30:00,2602.366891,484.4,3339.479756,646.0496819
2021-01-02 10:45:00,2470.784926,426.6,3218.494067,476.9445385
2021-01-02 11:00:00,2452.777685,393.3,3324.770125,495.9244809
2021-01-02 11:15:00,2438.241611,445.5,3340.004942,511.6915635
2021-01-02 11:30:00,2492.682509,375.6,3218.868628,663.2451309
2021-01-02 11:45:00,2489.091106,430.8,3145.951678,612.2710292
2021-01-02 12:00:00,2545.157659,418.2,3161.275481,556.8414097
2021-01-02 12:15:00,2647.643001,379.0,3093.49545,355.0736474
2021-01-02 12:30:00,2576.828159,321.1,3162.665039,410.1278378
2021-01-02 12:45:00,2521.754823,323.7,3223.530122,422.0153559
2021-01-02 13:00:00,2513.794798,276.0,3165.659806,631.7078962
2021-01-02 13:15:00,2498.655855,423.5,3301.356561,624.8515153
2021-01-02 13:30:00,2511.135277,435.3,3428.83275,398.7107903
2021-01-02 13:45:00,2635.56571,311.7,3367.569267,513.3025622
2021-01-02 14:00:00,2504.458264,391.9,3207.078708,525.5796608
2021-01-02 14:15:00,2525.075121,333.0,3039.919417,534.5240653
2021-01-02 14:30:00,2177.113863,345.6,2818.290692,712.8519438
2021-01-02 14:45:00,2335.443848,507.3,3178.960486,382.432426
2021-01-02 15:00:00,2444.769944,344.8,3341.516244,365.5386823
2021-01-02 15:15:00,2612.450251,290.7,3346.428456,413.2059035
2021-01-02 15:30:00,2570.843113,305.6,3354.418533,369.6758295
2021-01-02 15:45:00,2549.263145,280.1,3294.500383,515.4774774
2021-01-02 16:00:00,2604.672249,382.1,3381.032047,650.4673804
2021-01-02 16:15:00,2576.72122,448.4,3372.449597,343.2656781
2021-01-02 16:30:00,2607.576734,284.2,3415.345217,443.675833
2021-01-02 16:45:00,2664.646354,314.8,3341.927292,453.0012417
2021-01-02 17:00:00,2644.361758,334.5,3360.947775,433.8456309
2021-01-02 17:15:00,2615.507039,330.6,3471.086892,657.0775229
2021-01-02 17:30:00,2697.503959,407.3,3510.030825,583.3903684
2021-01-02 17:45:00,2523.349336,502.5,3470.721797,366.7847691
2021-01-02 18:00:00,2615.712795,274.6,3342.111703,496.6688007
2021-01-02 18:15:00,2503.508454,394.5,3364.709896,591.2619378
2021-01-02 18:30:00,2440.931735,360.7,3362.163975,633.8731417
2021-01-02 18:45:00,2457.372893,423.8,3389.514792,711.5629868
2021-01-02 19:00:00,2602.839085,504.6,3358.536119,537.6813278
2021-01-02 19:15:00,2467.345314,372.6,3391.9769,335.8837325
2021-01-02 19:30:00,2351.675939,313.1,3437.585336,430.5453837
2021-01-02 19:45:00,2519.165221,301.5,3439.611056,419.6166469
2021-01-02 20:00:00,2402.342139,335.9,3254.861442,511.3645476
2021-01-02 20:15:00,2388.684176,336.1,3270.734903,855.4361104
2021-01-02 20:30:00,2479.893345,545.2,3280.333467,447.0182939
2021-01-02 20:45:00,2410.005941,381.0,3285.652978,453.2633566
2021-01-02 21:00:00,2470.423384,329.4,3281.947539,497.8309552
2021-01-02 21:15:00,2549.490886,348.6,3136.234636,456.9535281
2021-01-02 21:30:00,2386.666034,345.9,3052.292569,752.3238521
2021-01-02 21:45:00,2406.857999,489.2,2935.035225,572.6930017
2021-01-02 22:00:00,2482.93426,421.6,3205.995396,518.1727507
2021-01-02 22:15:00,2515.750169,365.2,3229.289694,503.2408385
2021-01-02 22:30:00,2523.077848,333.2,3036.001,333.9949832
2021-01-02 22:45:00,2442.72943,254.4,2884.007928,452.5512285
2021-01-02 23:00:00,2260.585739,305.8,2887.879081,401.2851896
2021-01-02 23:15:00,2229.288755,258.6,2912.311819,573.592867
2021-01-02 23:30:00,2260.885124,379.7,2937.637722,534.9404997
2021-01-02 23:45:00,2242.574665,396.2,2890.186953,557.6963972
2021-01-03 00:00:00,2241.945583,388.7,2699.012322,415.3998153
2021-01-03 00:15:00,2068.280497,357.2,2907.958678,424.4267122
2021-01-03 00:30:00,2224.780999,305.7,2963.063164,425.1205438
2021-01-03 00:45:00,2257.965934,283.3,2813.541417,427.5913819
2021-01-03 01:00:00,2186.374586,327.2,2739.365342,634.5762194
2021-01-03 01:15:00,2138.491971,374.5,2796.673164,558.9481795
2021-01-03 01:30:00,2091.292976,412.5,2727.495085,533.357841
2021-01-03 01:45:00,2060.198013,380.0,2437.382156,367.271345
2021-01-03 02:00:00,2037.512625,303.8,2472.748544,432.0034045
2021-01-03 02:15:00,2062.722477,342.5,2516.674472,494.2541431
2021-01-03 02:30:00,2039.909334,323.5,2608.903944,403.1929931
2021-01-03 02:45:00,2034.093624,281.4,2563.420658,503.1813889
2021-01-03 03:00:00,2090.373373,315.9,2499.328128,620.7759691
2021-01-03 03:15:00,1849.914828,486.0,2509.701897,441.649524
2021-01-03 03:30:00,1827.921261,333.5,2789.847003,301.4051844
2021-01-03 03:45:00,2053.90367,236.5,2985.819507,409.0300464
2021-01-03 04:00:00,2262.517632,286.0,2852.925697,404.3002844
2021-01-03 04:15:00,2280.789906,272.2,2635.318867,670.9566677
